<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2021.01.19,10:00:00,149900,150200,149200,149300,5413
2021.01.19,11:00:00,149300,149600,149000,149500,3164
2021.01.19,12:00:00,149700,150600,149600,149900,5667
2021.01.19,13:00:00,149900,150000,149200,149700,1821
2021.01.19,14:00:00,149800,149900,148500,149100,5908
2021.01.20,10:00:00,149100,150400,149000,150400,3628
2021.01.20,11:00:00,150400,151600,150200,151000,3437
2021.01.20,12:00:00,151000,153300,151000,152100,3389
2021.01.20,13:00:00,152400,152500,151500,152000,858
2021.01.20,14:00:00,152000,152400,151400,151900,1399
2021.01.21,10:00:00,152300,152800,151900,151900,2009
2021.01.21,11:00:00,152000,152500,151900,152100,1632
2021.01.21,12:00:00,152100,152600,152100,152300,690
2021.01.21,13:00:00,152200,152200,151200,151600,3168
2021.01.21,14:00:00,151700,151800,151300,151400,1704
2021.01.23,10:00:00,151400,151500,151000,151200,1026
2021.01.23,11:00:00,151300,151700,150900,151100,995
2021.01.23,12:00:00,151000,151700,151000,151400,1742
2021.01.23,13:00:00,151400,151400,150700,150800,1812
2021.01.23,14:00:00,150800,151200,149700,149800,2971
2021.01.24,10:00:00,149500,149700,149200,149400,1511
2021.01.24,11:00:00,149400,149800,149100,149300,1852
2021.01.24,12:00:00,149200,149500,149100,149500,1528
2021.01.24,13:00:00,149500,149600,149200,149400,1420
2021.01.24,14:00:00,149400,149600,148800,149100,3546
2021.01.25,10:00:00,148600,149200,148600,149200,884
2021.01.25,11:00:00,149100,149500,148600,148800,1607
2021.01.25,12:00:00,148900,148900,147700,147900,1920
2021.01.25,13:00:00,147900,148000,146900,147000,2431
2021.01.25,14:00:00,147100,147300,146500,147000,2687
2021.01.26,10:00:00,146800,147500,146500,146700,888
2021.01.26,11:00:00,146900,147100,146600,147000,627
2021.01.26,12:00:00,146800,147800,146700,147600,4706
2021.01.26,13:00:00,147600,148100,147500,147600,1460
2021.01.26,14:00:00,147700,147700,147100,147600,2027
2021.01.27,10:00:00,147600,148000,146900,147000,2436
2021.01.27,11:00:00,147000,147100,146300,146400,4500
2021.01.27,12:00:00,146500,146900,146500,146600,1149
2021.01.27,13:00:00,146600,146800,144700,145300,3507
2021.01.27,14:00:00,145300,145300,143400,143800,5202
2021.01.28,10:00:00,143500,144200,143500,144200,3671
2021.01.28,11:00:00,144100,144200,143500,143700,3075
2021.01.28,12:00:00,143700,144300,143300,144100,4778
2021.01.28,13:00:00,144100,144500,144000,144100,1261
2021.01.28,14:00:00,144200,144200,143000,143900,5673
2021.01.30,10:00:00,143600,144500,143600,144200,2354
2021.01.30,11:00:00,144300,144400,144000,144000,1201
2021.01.30,12:00:00,144000,144100,141900,142200,5715
2021.01.30,13:00:00,142200,142600,139800,140600,10185
2021.01.30,14:00:00,140500,141300,140400,140900,5355
2021.01.31,10:00:00,140300,140800,140000,140300,1959
2021.01.31,11:00:00,140300,141300,140300,141200,3778
2021.01.31,12:00:00,141100,141300,139800,140100,2130
2021.01.31,13:00:00,140200,140800,139900,140200,1797
2021.01.31,14:00:00,140200,142400,140000,141900,5891
2021.02.01,10:00:00,142000,142400,141200,141500,1379
2021.02.01,11:00:00,141500,141600,139300,140000,4320
2021.02.01,12:00:00,140000,140600,139900,140500,1191
2021.02.01,13:00:00,140300,141000,140200,140600,1197
2021.02.01,14:00:00,140600,141200,140300,141000,1634
2021.02.02,10:00:00,140000,140900,140000,140200,1510
2021.02.02,11:00:00,140300,140400,139500,140000,4503
2021.02.02,12:00:00,140000,140400,139900,140000,2165
2021.02.02,13:00:00,140000,140700,139900,140500,1979
2021.02.02,14:00:00,140500,141600,140200,141400,3812
2021.02.03,10:00:00,141000,141700,140700,141000,697
2021.02.03,11:00:00,141000,141600,140400,140500,1403
2021.02.03,12:00:00,140800,140900,138700,139200,5955
2021.02.03,13:00:00,139200,140300,139100,139900,2462
2021.02.03,14:00:00,139900,140800,139700,140400,3395
2021.02.04,10:00:00,140400,140400,139900,140100,2266
2021.02.04,11:00:00,140100,140400,140000,140200,1103
2021.02.04,12:00:00,140300,140400,139800,140300,2077
2021.02.04,13:00:00,140100,140900,139900,140500,3284
2021.02.04,14:00:00,140400,140600,140000,140300,3030
2021.02.06,10:00:00,140200,140200,139500,139500,1035
2021.02.06,11:00:00,139500,139700,139400,139700,1937
2021.02.06,12:00:00,139600,140400,139500,140200,1407
2021.02.06,13:00:00,140100,140500,139700,139900,1455
2021.02.06,14:00:00,139800,140000,139400,139500,1769
2021.02.07,10:00:00,139200,139800,139200,139400,1298
2021.02.07,11:00:00,139400,139600,139300,139400,840
2021.02.07,12:00:00,139400,139800,139200,139700,1521
2021.02.07,13:00:00,139800,140700,139700,140300,2998
2021.02.07,14:00:00,140300,140500,140300,140500,653
2021.02.08,10:00:00,140300,140500,140000,140400,857
2021.02.08,11:00:00,140300,141100,140200,140800,1099
2021.02.08,12:00:00,140700,140900,140400,140500,1471
2021.02.08,13:00:00,140500,140800,140300,140600,944
2021.02.08,14:00:00,140600,140700,140300,140500,1840
2021.02.09,10:00:00,140100,140400,139600,140300,542
2021.02.09,11:00:00,140200,140300,139700,140100,1701
2021.02.09,12:00:00,140100,140200,139700,140000,896
2021.02.09,13:00:00,140000,140300,139900,140100,900
2021.02.09,14:00:00,140100,140700,140100,140400,2288
2021.02.11,10:00:00,140500,140800,140500,140600,528
2021.02.11,11:00:00,140700,140800,140400,140600,1200
2021.02.11,12:00:00,140600,140700,140300,140500,529
2021.02.11,13:00:00,140600,141600,140500,141200,4552
2021.02.11,14:00:00,141300,141700,141200,141400,2568
2021.02.13,10:00:00,142600,143400,142000,143000,6958
2021.02.13,11:00:00,143100,143300,142500,142800,2106
2021.02.13,12:00:00,142800,142900,142100,142200,2057
2021.02.13,13:00:00,142200,142700,142200,142600,1401
2021.02.13,14:00:00,142700,143300,142700,142900,3085
2021.02.14,10:00:00,142900,142900,141500,142100,4521
2021.02.14,11:00:00,142100,142200,142000,142200,799
2021.02.14,12:00:00,142200,142500,141900,141900,1833
2021.02.14,13:00:00,141900,142300,141700,142100,2089
2021.02.14,14:00:00,142100,142200,140600,140900,5913
2021.02.15,10:00:00,140700,140700,140000,140100,3972
2021.02.15,11:00:00,140200,140400,140100,140200,1096
2021.02.15,12:00:00,140200,140200,139200,139400,6496
2021.02.15,13:00:00,139400,139400,137800,138700,5501
2021.02.15,14:00:00,138700,138900,138200,138400,1745
2021.02.16,10:00:00,138000,138700,137700,138400,1612
2021.02.16,11:00:00,138400,138600,138200,138400,536
2021.02.16,12:00:00,138400,138500,137900,138000,1072
2021.02.16,13:00:00,138000,138200,137300,137800,5310
2021.02.16,14:00:00,137800,138400,137600,137900,4095
2021.02.17,10:00:00,138300,138300,137900,137900,641
2021.02.17,11:00:00,137900,138200,137900,138000,251
2021.02.17,12:00:00,138000,138000,137400,137600,933
2021.02.17,13:00:00,137600,137800,137500,137800,615
2021.02.17,14:00:00,137800,137900,137100,137400,2824
2021.02.18,10:00:00,137500,137600,137300,137300,371
2021.02.18,11:00:00,137300,137400,136900,137000,2451
2021.02.18,12:00:00,137000,137400,137000,137300,1897
2021.02.18,13:00:00,137300,137300,137300,137300,24
2021.02.18,14:00:00,137300,138300,137200,137600,5778
2021.02.20,10:00:00,137500,137900,137300,137600,1423
2021.02.20,11:00:00,137600,137700,137200,137400,564
2021.02.20,12:00:00,137300,137500,136800,137300,2480
2021.02.20,13:00:00,137200,137500,137000,137200,643
2021.02.20,14:00:00,137200,137400,137000,137200,567
2021.02.21,10:00:00,137100,137100,136800,136900,1158
2021.02.21,11:00:00,137000,137100,136800,136800,783
2021.02.21,12:00:00,136800,137000,136700,137000,394
2021.02.21,13:00:00,136900,137000,135800,136200,3415
2021.02.21,14:00:00,136200,136200,135700,135800,1452
2021.02.22,10:00:00,135200,135600,135100,135400,1599
2021.02.22,11:00:00,135300,135400,134800,134800,1611
2021.02.22,12:00:00,134900,134900,134200,134300,2002
2021.02.22,13:00:00,134400,134400,133600,133600,2072
2021.02.22,14:00:00,133700,133700,132500,132500,2818
2021.02.23,10:00:00,132500,132500,131500,131800,1853
2021.02.23,11:00:00,131800,131800,131200,131500,4264
2021.02.23,12:00:00,131600,131800,131500,131800,1422
2021.02.23,13:00:00,131900,132900,131800,132300,3177
2021.02.23,14:00:00,132300,132500,131600,131900,1277
2021.02.24,10:00:00,132200,133300,131800,132600,2832
2021.02.24,11:00:00,132600,133400,132400,133200,3198
2021.02.24,12:00:00,133200,133500,132900,132900,1637
2021.02.24,13:00:00,132900,133100,132500,132700,1129
2021.02.24,14:00:00,132600,133300,132600,133200,2689
2021.02.27,10:00:00,132800,133300,132800,133200,1405
2021.02.27,11:00:00,133100,133300,132600,132900,2565
