<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020.12.27,10:00:00,1560000,1607000,1560000,1601000,54
2020.12.27,11:00:00,1595000,1600000,1590000,1590000,53
2020.12.27,12:00:00,1590000,1590000,1580000,1585000,68
2020.12.27,13:00:00,1580000,1580000,1560000,1563000,120
2020.12.27,14:00:00,1563000,1570000,1560000,1563000,66
2020.12.28,10:00:00,1559000,1559000,1512000,1534000,98
2020.12.28,11:00:00,1530000,1534000,1527000,1531000,91
2020.12.28,12:00:00,1532000,1589000,1532000,1580000,443
2020.12.28,13:00:00,1579000,1579000,1563000,1563000,270
2020.12.28,14:00:00,1563000,1563000,1554000,1560000,191
2020.12.29,10:00:00,1557000,1557000,1555000,1555000,5
2020.12.29,11:00:00,1556000,1572000,1556000,1560000,17
2020.12.29,12:00:00,1563000,1570000,1563000,1563000,31
2020.12.29,13:00:00,1565000,1567000,1565000,1567000,5
2020.12.29,14:00:00,1561000,1582000,1559000,1568000,114
2020.12.30,10:00:00,1564000,1564000,1558000,1561000,8
2020.12.30,11:00:00,1557000,1557000,1529000,1540000,58
2020.12.30,12:00:00,1539000,1544000,1537000,1544000,4
2020.12.30,13:00:00,1544000,1549000,1544000,1549000,7
2020.12.30,14:00:00,1549000,1570000,1542000,1544000,149
2020.12.31,10:00:00,1538000,1538000,1518000,1520000,59
2020.12.31,11:00:00,1520000,1520000,1499000,1514000,48
2020.12.31,12:00:00,1517000,1525000,1516000,1521000,54
2020.12.31,13:00:00,1520000,1545000,1520000,1543000,187
2020.12.31,14:00:00,1543000,1547000,1525000,1525000,87
2021.01.02,10:00:00,1530000,1533000,1530000,1533000,8
2021.01.02,11:00:00,1533000,1533000,1510000,1530000,47
2021.01.02,12:00:00,1532000,1535000,1532000,1535000,14
2021.01.02,13:00:00,1535000,1543000,1534000,1535000,64
2021.01.02,14:00:00,1534000,1573000,1530000,1565000,302
2021.01.03,10:00:00,1560000,1572000,1560000,1572000,23
2021.01.03,11:00:00,1568000,1568000,1560000,1561000,16
2021.01.03,12:00:00,1568000,1568000,1568000,1568000,3
2021.01.03,13:00:00,1567000,1569000,1564000,1569000,27
2021.01.03,14:00:00,1562000,1568000,1535000,1535000,85
2021.01.04,10:00:00,1531000,1535000,1525000,1535000,21
2021.01.04,11:00:00,1540000,1543000,1540000,1543000,7
2021.01.04,12:00:00,1542000,1542000,1542000,1542000,4
2021.01.04,13:00:00,1543000,1543000,1535000,1535000,4
2021.01.04,14:00:00,1531000,1541000,1530000,1534000,41
2021.01.05,10:00:00,1543000,1543000,1543000,1543000,3
2021.01.05,11:00:00,1544000,1544000,1533000,1533000,17
2021.01.05,12:00:00,1537000,1538000,1537000,1538000,6
2021.01.05,13:00:00,1539000,1549000,1537000,1549000,24
2021.01.05,14:00:00,1541000,1541000,1535000,1535000,46
2021.01.06,10:00:00,1533000,1567000,1533000,1540000,23
2021.01.06,11:00:00,1538000,1552000,1538000,1538000,53
2021.01.06,13:00:00,1545000,1554000,1539000,1543000,104
