Time,EURUSD_dailyvol,EURUSD_threshol
2018-01-04 22:00:00,0.35509,0.43000
2018-01-04 23:00:00,0.35494,0.43000
2018-01-05 00:00:00,0.35474,0.43000
2018-01-05 01:00:00,0.35503,0.43000
2018-01-05 02:00:00,0.35542,0.43000
2018-01-05 03:00:00,0.35550,0.43000
2018-01-05 04:00:00,0.35555,0.43000
2018-01-05 05:00:00,0.35548,0.43000
2018-01-05 06:00:00,0.35529,0.43000
2018-01-05 07:00:00,0.35477,0.43000
2018-01-05 08:00:00,0.35420,0.43000
2018-01-05 09:00:00,0.35351,0.43000
2018-01-05 10:00:00,0.35230,0.43000
2018-01-05 11:00:00,0.35100,0.43000
2018-01-05 12:00:00,0.34882,0.43000
2018-01-05 13:00:00,0.34637,0.43000
2018-01-05 14:00:00,0.34728,0.43000
2018-01-05 15:00:00,0.34888,0.43000
2018-01-05 16:00:00,0.35104,0.43000
2018-01-05 17:00:00,0.35281,0.43000
2018-01-05 18:00:00,0.35413,0.43000
2018-01-05 19:00:00,0.35441,0.43000
2018-01-05 20:00:00,0.35458,0.43000
2018-01-05 21:00:00,0.35486,0.43000
2018-01-07 23:00:00,0.35576,0.43000
2018-01-08 00:00:00,0.35658,0.43000
2018-01-08 01:00:00,0.35762,0.43000
2018-01-08 02:00:00,0.35831,0.43000
2018-01-08 03:00:00,0.35941,0.43000
2018-01-08 04:00:00,0.36056,0.43000
2018-01-08 05:00:00,0.36181,0.43000
2018-01-08 06:00:00,0.36361,0.43000
2018-01-08 07:00:00,0.36545,0.43000
2018-01-08 08:00:00,0.36752,0.43000
2018-01-08 09:00:00,0.36988,0.43000
2018-01-08 10:00:00,0.37182,0.43000
2018-01-08 11:00:00,0.37398,0.43000
2018-01-08 12:00:00,0.37678,0.43000
2018-01-08 13:00:00,0.38020,0.43000
2018-01-08 14:00:00,0.38338,0.43000
2018-01-08 15:00:00,0.38308,0.43000
2018-01-08 16:00:00,0.38117,0.43000
2018-01-08 17:00:00,0.37824,0.43000
2018-01-08 18:00:00,0.37535,0.43000
2018-01-08 19:00:00,0.37347,0.43000
2018-01-08 20:00:00,0.37195,0.43000
2018-01-08 21:00:00,0.37057,0.43000
